player_id,player_name,feature_season,outcome_season,position,team,outcome_games_played,outcome_total_ppr,outcome_ppg,outcome_spike_week_rate,outcome_dud_week_rate,outcome_total_targets,outcome_targets_per_game,outcome_total_receptions,outcome_receptions_per_game,outcome_total_receiving_yards,outcome_receiving_yards_per_game,outcome_total_receiving_tds,outcome_receiving_tds_per_game
00-0022921,L.Fitzgerald,2019,2020,WR,ARI,13,100.9,7.7615,0,0.3077,72,5.5385,54,4.1538,409,31.4615,1,0.0769
00-0025396,T.Ginn,2019,2020,WR,CHI,3,7,2.3333,0,1,6,2,3,1,40,13.3333,0,0
00-0026035,D.Amendola,2019,2020,WR,DET,14,106.4,7.6,0,0.2857,69,4.9286,46,3.2857,602,43,0,0
00-0026035,D.Amendola,2020,2021,WR,HOU,8,68.8,8.6,0.125,0.5,38,4.75,24,3,248,31,3,0.375
00-0026189,D.Jackson,2019,2020,WR,PHI,5,44.8,8.96,0,0.2,26,5.2,14,2.8,236,47.2,1,0.2
00-0026189,D.Jackson,2020,2021,WR,LA,14,75.8,5.4143,0.0714,0.7143,34,2.4286,20,1.4286,454,32.4286,2,0.1429
00-0026189,D.Jackson,2021,2022,WR,BAL,7,24.3,3.4714,0,0.7143,17,2.4286,9,1.2857,153,21.8571,0,0
00-0027150,J.Edelman,2019,2020,WR,NE,6,56.22,9.37,0.1667,0.5,39,6.5,21,3.5,315,52.5,0,0
00-0027685,E.Sanders,2019,2020,WR,NO,14,164.8,11.7714,0.1429,0.2143,82,5.8571,61,4.3571,726,51.8571,5,0.3571
00-0027685,E.Sanders,2020,2021,WR,BUF,14,131.7,9.4071,0.1429,0.2143,72,5.1429,42,3,626,44.7143,4,0.2857
00-0027691,A.Roberts,2019,2020,WR,BUF,3,7.1,2.3667,0,1,5,1.6667,4,1.3333,34,11.3333,0,0
00-0027691,A.Roberts,2020,2021,WR,HOU,5,12.4,2.48,0,0.8,2,0.4,1,0.2,35,7,0,0
00-0027793,A.Brown,2019,2020,WR,TB,8,117.1,14.6375,0.25,0.125,62,7.75,45,5.625,483,60.375,4,0.5
00-0027793,A.Brown,2020,2021,WR,TB,7,121.1,17.3,0.5714,0.1429,62,8.8571,42,6,545,77.8571,4,0.5714
00-0027891,G.Tate,2019,2020,WR,NYG,12,86.52,7.21,0,0.25,52,4.3333,35,2.9167,388,32.3333,2,0.1667
00-0027902,D.Bryant,2019,2020,WR,BAL,4,22.7,5.675,0,0.25,11,2.75,6,1.5,47,11.75,2,0.5
00-0027942,A.Green,2019,2020,WR,CIN,16,111.3,6.9563,0,0.4375,104,6.5,47,2.9375,523,32.6875,2,0.125
00-0027942,A.Green,2020,2021,WR,ARI,16,156.8,9.8,0,0.3125,92,5.75,54,3.375,848,53,3,0.1875
00-0027942,A.Green,2021,2022,WR,ARI,13,61.6,4.7385,0,0.6154,47,3.6154,24,1.8462,236,18.1538,2,0.1538
00-0027944,J.Jones,2019,2020,WR,ATL,9,146.1,16.2333,0.3333,0.1111,68,7.5556,51,5.6667,771,85.6667,3,0.3333
00-0027944,J.Jones,2020,2021,WR,TEN,10,80.4,8.04,0,0.2,48,4.8,31,3.1,434,43.4,1,0.1
00-0027944,J.Jones,2021,2022,WR,TB,10,70.4,7.04,0,0.4,43,4.3,24,2.4,299,29.9,2,0.2
00-0027944,J.Jones,2022,2023,WR,PHI,8,36.4,4.55,0,0.75,19,2.375,11,1.375,74,9.25,3,0.375
00-0028002,R.Cobb,2019,2020,WR,HOU,10,100.1,10.01,0,0.1,48,4.8,38,3.8,441,44.1,3,0.3
00-0028002,R.Cobb,2020,2021,WR,GB,11,95.6,8.6909,0.0909,0.2727,39,3.5455,28,2.5455,375,34.0909,5,0.4545
00-0028002,R.Cobb,2021,2022,WR,GB,13,81.7,6.2846,0,0.4615,50,3.8462,34,2.6154,417,32.0769,1,0.0769
00-0028002,R.Cobb,2022,2023,WR,NYJ,9,16.9,1.8778,0,0.8889,17,1.8889,5,0.5556,39,4.3333,1,0.1111
00-0028237,C.Hogan,2019,2020,WR,NYJ,5,25.8,5.16,0,0.4,26,5.2,14,2.8,118,23.6,0,0
