player_id,player_name,team,season,week,position,week_is_active,raw_games_value,ppr_points,targets,receptions,receiving_yards,receiving_tds,snap_share,route_participation,target_share,air_yard_share
00-0022921,L.Fitzgerald,ARI,2020,1,WR,true,,7.4,5,4,34,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,2,WR,true,,12,7,7,50,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,3,WR,true,,1,3,1,0,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,4,WR,true,,2.4,3,2,4,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,5,WR,true,,7.5,7,4,35,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,6,WR,true,,5.2,4,3,22,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,7,WR,true,,14.2,8,8,62,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,9,WR,true,,9.4,5,4,54,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,10,WR,true,,3.3,5,2,13,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,11,WR,true,,14.2,10,8,62,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,14,WR,true,,3,3,2,10,0,,,,
00-0022921,L.Fitzgerald,ARI,2020,15,WR,true,,12.5,4,3,35,1,,,,
00-0022921,L.Fitzgerald,ARI,2020,16,WR,true,,8.8,8,6,28,0,,,,
00-0025396,T.Ginn,CHI,2020,1,WR,true,,0,1,0,0,0,,,,
00-0025396,T.Ginn,CHI,2020,3,WR,true,,3.9,3,1,29,0,,,,
00-0025396,T.Ginn,CHI,2020,4,WR,true,,3.1,2,2,11,0,,,,
00-0026035,D.Amendola,DET,2020,1,WR,true,,13.1,7,5,81,0,,,,
00-0026035,D.Amendola,DET,2020,2,WR,true,,4.1,7,2,21,0,,,,
00-0026035,D.Amendola,DET,2020,3,WR,true,,2.8,4,1,18,0,,,,
00-0026035,D.Amendola,DET,2020,4,WR,true,,7.7,3,2,57,0,,,,
00-0026035,D.Amendola,DET,2020,6,WR,true,,5.1,2,2,31,0,,,,
00-0026035,D.Amendola,DET,2020,7,WR,true,,9.2,4,3,62,0,,,,
00-0026035,D.Amendola,DET,2020,8,WR,true,,8.4,4,3,54,0,,,,
00-0026035,D.Amendola,DET,2020,9,WR,true,,14.9,10,7,77,0,,,,
00-0026035,D.Amendola,DET,2020,10,WR,true,,4,3,3,10,0,,,,
00-0026035,D.Amendola,DET,2020,13,WR,true,,9.2,5,3,62,0,,,,
00-0026035,D.Amendola,DET,2020,14,WR,true,,12.6,7,6,66,0,,,,
00-0026035,D.Amendola,DET,2020,15,WR,true,,5,4,3,20,0,,,,
00-0026035,D.Amendola,DET,2020,16,WR,true,,8.7,7,5,37,0,,,,
00-0026035,D.Amendola,DET,2020,17,WR,true,,1.6,2,1,6,0,,,,
00-0026035,D.Amendola,HOU,2021,1,WR,true,,14.4,5,5,34,1,,,,
