player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0035676,A.Brown,TEN,2020,1,WR,8.9,8,5,39.0,0,,,,,
00-0031544,A.Cooper,DAL,2020,1,WR,18.1,14,10,81.0,0,,,,,
00-0027942,A.Green,CIN,2020,1,WR,10.100000000000001,9,5,51.0,0,,,,,
00-0032009,A.Humphries,TEN,2020,1,WR,10.7,7,6,47.0,0,,,,,
00-0034521,A.Lazard,GB,2020,1,WR,18.200000000000003,4,4,63.0,1,,,,,
00-0034353,A.Miller,CHI,2020,1,WR,17.6,6,4,76.0,1,,,,,
00-0031428,A.Robinson,CHI,2020,1,WR,12.3,9,5,74.0,0,,,,,
00-0030035,A.Thielen,MIN,2020,1,WR,31.0,8,6,110.0,2,,,,,
00-0031236,B.Cooks,HOU,2020,1,WR,4.0,5,2,20.0,0,,,,,
00-0036365,B.Edwards,LV,2020,1,WR,1.9,1,1,9.0,0,,,,,
00-0032054,B.Perriman,NYJ,2020,1,WR,4.7,5,3,17.0,0,,,,,
00-0029000,C.Beasley,BUF,2020,1,WR,9.8,7,4,58.0,0,,,,,
00-0033367,C.Board,NYG,2020,1,WR,3.7,2,2,17.0,0,,,,,
00-0036326,C.Claypool,PIT,2020,1,WR,6.7,2,2,39.0,0,,,,,
00-0032128,C.Conley,JAX,2020,1,WR,1.6,1,1,6.0,0,,,,,
00-0033871,C.Davis,TEN,2020,1,WR,17.1,8,7,101.0,0,,,,,
00-0033921,C.Godwin,TB,2020,1,WR,13.9,7,6,79.0,0,,,,,
00-0028237,C.Hogan,NYJ,2020,1,WR,1.0,4,1,0.0,0,,,,,
00-0036254,C.Johnson,JAX,2020,1,WR,2.4000000000000004,1,1,14.0,0,,,,,
00-0034775,C.Kirk,ARI,2020,1,WR,1.0,5,1,0.0,0,,,,,
00-0033908,C.Kupp,LA,2020,1,WR,8.0,5,4,40.0,0,,,,,
00-0036358,C.Lamb,DAL,2020,1,WR,10.9,6,5,59.0,0,,,,,
00-0034837,C.Ridley,ATL,2020,1,WR,33.9,12,9,130.0,2,,,,,
00-0033282,C.Samuel,CAR,2020,1,WR,9.3,8,5,38.0,0,,,,,
00-0031381,D.Adams,GB,2020,1,WR,41.6,17,14,156.0,2,,,,,
00-0026035,D.Amendola,DET,2020,1,WR,13.1,7,5,81.0,0,,,,,
00-0031763,D.Carter,HOU,2020,1,WR,1.8,2,1,8.0,0,,,,,
00-0034777,D.Chark,JAX,2020,1,WR,11.5,3,3,25.0,1,,,,,
00-0036331,D.Duvernay,BAL,2020,1,WR,2.2,1,1,12.0,0,,,,,
00-0034370,D.Hamilton,DEN,2020,1,WR,2.8,3,1,18.0,0,,,,,
00-0035215,D.Harty,NO,2020,1,WR,3.6,1,1,17.0,0,,,,,
00-0030564,D.Hopkins,ARI,2020,1,WR,29.1,16,14,151.0,0,,,,,
00-0028411,D.Inman,WAS,2020,1,WR,4.1,5,2,21.0,0,,,,,
00-0026189,D.Jackson,PHI,2020,1,WR,6.6000000000000005,7,2,46.0,0,,,,,
00-0035216,D.Johnson,PIT,2020,1,WR,11.7,10,6,57.0,0,,,,,
00-0035640,D.Metcalf,SEA,2020,1,WR,19.5,8,4,95.0,1,,,,,
00-0036309,D.Mooney,CHI,2020,1,WR,6.800000000000001,3,3,38.0,0,,,,,
00-0033589,D.Moore,SEA,2020,1,WR,7.0,3,3,28.0,0,,,,,
