player_id,player_name,feature_season,outcome_season,position,feature_team,has_valid_outcome,breakout_label_default,breakout_reason,wr_signal_score,rank,scoring_version
00-0031588,S.Diggs,2020,2021,WR,BUF,True,False,no_breakout_trigger,53.4927,1,wr_signal_score_v1
00-0031381,D.Adams,2020,2021,WR,GB,True,False,no_breakout_trigger,53.3320,2,wr_signal_score_v1
00-0030564,D.Hopkins,2020,2021,WR,ARI,True,False,no_breakout_trigger,53.2083,3,wr_signal_score_v1
00-0031428,A.Robinson,2020,2021,WR,CHI,True,False,no_breakout_trigger,53.1812,4,wr_signal_score_v1
00-0033040,T.Hill,2020,2021,WR,KC,True,False,no_breakout_trigger,51.9253,5,wr_signal_score_v1
00-0032211,T.Lockett,2020,2021,WR,SEA,True,False,no_breakout_trigger,51.6559,6,wr_signal_score_v1
00-0034837,C.Ridley,2020,2021,WR,ATL,True,False,no_breakout_trigger,51.3345,7,wr_signal_score_v1
00-0035640,D.Metcalf,2020,2021,WR,SEA,True,False,no_breakout_trigger,51.1459,8,wr_signal_score_v1
00-0036322,J.Jefferson,2020,2021,WR,MIN,True,True,beat_expected_baseline,50.4106,9,wr_signal_score_v1
00-0030279,K.Allen,2020,2021,WR,LAC,True,False,no_breakout_trigger,50.3593,10,wr_signal_score_v1
00-0030035,A.Thielen,2020,2021,WR,MIN,True,True,beat_expected_baseline,49.1681,11,wr_signal_score_v1
00-0035216,D.Johnson,2020,2021,WR,PIT,True,True,beat_expected_baseline,47.2921,12,wr_signal_score_v1
00-0030431,R.Woods,2020,2021,WR,LA,True,True,beat_expected_baseline,47.0487,13,wr_signal_score_v1
00-0035676,A.Brown,2020,2021,WR,TEN,True,False,no_breakout_trigger,46.9641,14,wr_signal_score_v1
00-0031408,M.Evans,2020,2021,WR,TB,True,True,beat_expected_baseline,46.8071,15,wr_signal_score_v1
00-0031236,B.Cooks,2020,2021,WR,HOU,True,True,beat_expected_baseline,46.1730,16,wr_signal_score_v1
00-0035659,T.McLaurin,2020,2021,WR,WAS,True,False,no_breakout_trigger,45.6941,17,wr_signal_score_v1
00-0031544,A.Cooper,2020,2021,WR,DAL,True,False,no_breakout_trigger,45.2741,18,wr_signal_score_v1
00-0033857,J.Smith-Schuster,2020,2021,WR,PIT,True,False,no_breakout_trigger,44.1783,19,wr_signal_score_v1
00-0032688,R.Chosen,2020,2021,WR,CAR,True,False,no_breakout_trigger,42.1290,20,wr_signal_score_v1
00-0033921,C.Godwin,2020,2021,WR,TB,True,True,beat_expected_baseline,41.8770,21,wr_signal_score_v1
00-0029293,M.Jones,2020,2021,WR,DET,True,False,no_breakout_trigger,41.6424,22,wr_signal_score_v1
00-0033127,W.Fuller,2020,2021,WR,HOU,True,False,no_breakout_trigger,41.4164,23,wr_signal_score_v1
00-0036261,B.Aiyuk,2020,2021,WR,SF,True,False,no_breakout_trigger,41.2170,24,wr_signal_score_v1
00-0033908,C.Kupp,2020,2021,WR,LA,True,True,top24_jump,40.5739,25,wr_signal_score_v1
00-0034827,D.Moore,2020,2021,WR,CAR,True,True,beat_expected_baseline,40.2849,26,wr_signal_score_v1
00-0033282,C.Samuel,2020,2021,WR,CAR,True,False,no_breakout_trigger,38.8979,27,wr_signal_score_v1
00-0027944,J.Jones,2020,2021,WR,ATL,True,False,no_breakout_trigger,38.2498,28,wr_signal_score_v1
00-0036358,C.Lamb,2020,2021,WR,DAL,True,True,top24_jump,38.0420,29,wr_signal_score_v1
