player_id,player_name,feature_season,outcome_season,position,feature_team,has_valid_outcome,breakout_label_default,breakout_reason,wr_signal_score,rank,scoring_version
00-0031588,S.Diggs,2020,2021,WR,BUF,True,False,no_breakout_trigger,58.1959,1,wr_signal_score_usage_heavy_v1
00-0031381,D.Adams,2020,2021,WR,GB,True,False,no_breakout_trigger,57.5089,2,wr_signal_score_usage_heavy_v1
00-0030564,D.Hopkins,2020,2021,WR,ARI,True,False,no_breakout_trigger,56.3654,3,wr_signal_score_usage_heavy_v1
00-0030279,K.Allen,2020,2021,WR,LAC,True,False,no_breakout_trigger,54.9742,4,wr_signal_score_usage_heavy_v1
00-0031428,A.Robinson,2020,2021,WR,CHI,True,False,no_breakout_trigger,54.4102,5,wr_signal_score_usage_heavy_v1
00-0034837,C.Ridley,2020,2021,WR,ATL,True,False,no_breakout_trigger,53.1563,6,wr_signal_score_usage_heavy_v1
00-0033040,T.Hill,2020,2021,WR,KC,True,False,no_breakout_trigger,52.0304,7,wr_signal_score_usage_heavy_v1
00-0032211,T.Lockett,2020,2021,WR,SEA,True,False,no_breakout_trigger,50.4107,8,wr_signal_score_usage_heavy_v1
00-0035216,D.Johnson,2020,2021,WR,PIT,True,True,beat_expected_baseline,49.7886,9,wr_signal_score_usage_heavy_v1
00-0035640,D.Metcalf,2020,2021,WR,SEA,True,False,no_breakout_trigger,49.7520,10,wr_signal_score_usage_heavy_v1
00-0036322,J.Jefferson,2020,2021,WR,MIN,True,True,beat_expected_baseline,48.6717,11,wr_signal_score_usage_heavy_v1
00-0035659,T.McLaurin,2020,2021,WR,WAS,True,False,no_breakout_trigger,47.0824,12,wr_signal_score_usage_heavy_v1
00-0030431,R.Woods,2020,2021,WR,LA,True,True,beat_expected_baseline,46.7163,13,wr_signal_score_usage_heavy_v1
00-0031544,A.Cooper,2020,2021,WR,DAL,True,False,no_breakout_trigger,45.6219,14,wr_signal_score_usage_heavy_v1
00-0030035,A.Thielen,2020,2021,WR,MIN,True,True,beat_expected_baseline,45.3367,15,wr_signal_score_usage_heavy_v1
00-0031236,B.Cooks,2020,2021,WR,HOU,True,True,beat_expected_baseline,44.9394,16,wr_signal_score_usage_heavy_v1
00-0033857,J.Smith-Schuster,2020,2021,WR,PIT,True,False,no_breakout_trigger,44.5718,17,wr_signal_score_usage_heavy_v1
00-0032688,R.Chosen,2020,2021,WR,CAR,True,False,no_breakout_trigger,44.4230,18,wr_signal_score_usage_heavy_v1
00-0035676,A.Brown,2020,2021,WR,TEN,True,False,no_breakout_trigger,44.3324,19,wr_signal_score_usage_heavy_v1
00-0031408,M.Evans,2020,2021,WR,TB,True,True,beat_expected_baseline,43.3410,20,wr_signal_score_usage_heavy_v1
00-0033908,C.Kupp,2020,2021,WR,LA,True,True,top24_jump,41.9367,21,wr_signal_score_usage_heavy_v1
