player_id,player_name,feature_season,outcome_season,position,usage_signal,efficiency_signal,development_signal,stability_signal,cohort_signal,role_signal,penalty_signal,wr_signal_score,scoring_version,usage_formula_notes,efficiency_formula_notes,development_formula_notes,stability_formula_notes,cohort_formula_notes,role_formula_notes,penalty_formula_notes
00-0031381,D.Adams,2020,2021,WR,45.0000,96.6597,30.0000,81.6667,0.0000,0.0000,76.2500,35.5571,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033040,T.Hill,2020,2021,WR,37.5000,97.7516,30.0000,87.7778,0.0000,0.0000,72.5000,34.9675,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031588,S.Diggs,2020,2021,WR,45.0000,81.6300,30.0000,93.8889,0.0000,0.0000,68.7500,34.2795,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030564,D.Hopkins,2020,2021,WR,45.0000,75.2083,30.0000,93.8889,0.0000,0.0000,61.2500,33.5736,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0035640,D.Metcalf,2020,2021,WR,30.4687,83.4767,30.0000,93.8889,0.0000,0.0000,42.5000,33.2807,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0034837,C.Ridley,2020,2021,WR,41.4998,81.2426,30.0000,87.7778,0.0000,0.0000,65.0000,33.2459,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0036322,J.Jefferson,2020,2021,WR,28.5938,86.3109,30.0000,93.8889,0.0000,0.0000,46.2500,33.1908,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0032211,T.Lockett,2020,2021,WR,31.8750,78.0189,30.0000,93.8889,0.0000,0.0000,35.0000,33.0295,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030035,A.Thielen,2020,2021,WR,24.0000,91.2156,30.0000,86.2778,0.0000,0.0000,38.7500,32.9960,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031428,A.Robinson,2020,2021,WR,40.7812,67.9848,29.1667,93.8889,0.0000,0.0000,35.0000,32.8046,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
