player_id,player_name,feature_season,outcome_season,position,usage_signal,efficiency_signal,development_signal,stability_signal,cohort_signal,role_signal,penalty_signal,wr_signal_score,scoring_version,usage_formula_notes,efficiency_formula_notes,development_formula_notes,stability_formula_notes,cohort_formula_notes,role_formula_notes,penalty_formula_notes
00-0031381,D.Adams,2020,2021,WR,45.0000,88.5418,35.0000,81.6667,0.0000,0.0000,76.2500,54.2459,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033040,T.Hill,2020,2021,WR,37.5000,89.7449,35.0000,87.7778,0.0000,0.0000,72.5000,54.0864,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030035,A.Thielen,2020,2021,WR,24.0000,83.7941,35.0000,86.2778,0.0000,0.0000,38.7500,51.3751,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0036322,J.Jefferson,2020,2021,WR,28.5938,78.1504,35.0000,93.8889,0.0000,0.0000,46.2500,50.5545,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0035640,D.Metcalf,2020,2021,WR,30.4687,75.0935,35.0000,93.8889,0.0000,0.0000,42.5000,50.1053,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031588,S.Diggs,2020,2021,WR,45.0000,71.9812,35.0000,93.8889,0.0000,0.0000,68.7500,50.0195,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0035676,A.Brown,2020,2021,WR,26.7855,84.9988,35.0000,78.5417,0.0000,0.0000,57.5000,50.0174,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0032211,T.Lockett,2020,2021,WR,31.8750,69.6590,35.0000,93.8889,0.0000,0.0000,35.0000,48.9496,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0034837,C.Ridley,2020,2021,WR,41.4998,71.5542,35.0000,87.7778,0.0000,0.0000,65.0000,48.6539,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031408,M.Evans,2020,2021,WR,21.0938,77.5389,31.1111,91.0389,0.0000,0.0000,35.0000,48.4523,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030564,D.Hopkins,2020,2021,WR,45.0000,64.9202,35.0000,93.8889,0.0000,0.0000,61.2500,47.9363,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033127,W.Fuller,2020,2021,WR,21.1365,90.8797,35.0000,45.5583,0.0000,0.0000,50.0000,47.6513,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031428,A.Robinson,2020,2021,WR,40.7812,58.7861,34.0278,93.8889,0.0000,0.0000,35.0000,46.5828,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033921,C.Godwin,2020,2021,WR,22.5000,78.2177,32.0833,52.1944,0.0000,0.0000,35.0000,44.5527,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030279,K.Allen,2020,2021,WR,45.0000,58.6090,35.0000,77.9417,0.0000,0.0000,53.7500,44.2244,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030431,R.Woods,2020,2021,WR,30.4687,62.1857,28.1945,90.1639,0.0000,0.0000,35.0000,43.9922,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031236,B.Cooks,2020,2021,WR,29.4998,64.4840,30.1389,80.7778,0.0000,0.0000,35.0000,43.9150,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031544,A.Cooper,2020,2021,WR,30.9375,57.8376,25.2778,88.0889,0.0000,0.0000,35.0000,41.6108,wr_signal_score_efficiency_heavy_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.70*scale(feature_ppg_per_target,0.90,2.70)+0.30*scale(feature_ppg,6.00,18.00)","0.35*scale(48.00-feature_finish,0.00,36.00)+0.65*scale(expected_ppg_baseline-feature_ppg,0.00,4.50)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
