player_id,player_name,feature_season,outcome_season,position,usage_signal,efficiency_signal,development_signal,stability_signal,cohort_signal,role_signal,penalty_signal,wr_signal_score,scoring_version,usage_formula_notes,efficiency_formula_notes,development_formula_notes,stability_formula_notes,cohort_formula_notes,role_formula_notes,penalty_formula_notes
00-0031588,S.Diggs,2020,2021,WR,58.7500,86.2225,40.0000,91.6667,0.0000,0.0000,52.5000,58.1959,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0031381,D.Adams,2020,2021,WR,61.4290,97.4948,40.0000,75.0000,0.0000,0.0000,60.8334,57.5089,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0030564,D.Hopkins,2020,2021,WR,55.0000,81.3802,40.0000,91.6667,0.0000,0.0000,44.1667,56.3654,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0030279,K.Allen,2020,2021,WR,60.0000,75.7001,40.0000,72.9306,0.0000,0.0000,35.8333,54.9742,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0031428,A.Robinson,2020,2021,WR,49.3750,72.7205,38.8889,91.6667,0.0000,0.0000,15.0000,54.4102,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0034837,C.Ridley,2020,2021,WR,50.3330,85.9319,40.0000,83.3333,0.0000,0.0000,48.3334,53.1563,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0033040,T.Hill,2020,2021,WR,45.0000,98.3137,40.0000,83.3333,0.0000,0.0000,56.6666,52.0304,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0032211,T.Lockett,2020,2021,WR,37.5000,80.5715,40.0000,91.6667,0.0000,0.0000,15.0000,50.4107,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0035216,D.Johnson,2020,2021,WR,51.0000,60.8465,31.1111,78.3056,0.0000,0.0000,15.0000,49.7886,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0035640,D.Metcalf,2020,2021,WR,35.6250,85.6936,40.0000,91.6667,0.0000,0.0000,23.3333,49.7520,wr_signal_score_usage_heavy_v1,"0.65*scale(feature_targets_per_game,4.50,11.00)+0.35*scale(feature_target_share,0.12,0.30)","0.45*scale(feature_ppg_per_target,0.80,2.50)+0.55*scale(feature_ppg,6.00,18.00)","0.40*scale(48.00-feature_finish,0.00,36.00)+0.60*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.75*scale(feature_games_played,8.00,17.00)+0.25*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.50*scale(12.00-feature_finish,0.00,12.00)+0.35*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
